Date,eq_bh,eq_sys,dd_bh,dd_sys
2008-02-21,0.8814303638644919,0.9360365116802195,-0.11856963613550808,-0.07857258592766181
2008-02-22,0.8845671267252195,0.9349857971866721,-0.11543287327478047,-0.07960690149830107
2008-02-25,0.8927227101631118,0.9336348785521112,-0.10727728983688822,-0.08093673580340854
2008-02-26,0.9071518193224593,0.9487252525554131,-0.09284818067754075,-0.06608188332517839
2008-02-27,0.9153074027603514,0.9572545943833662,-0.08469259723964861,-0.057685662359222234
2008-02-28,0.8939774153074028,0.9349470849871809,-0.10602258469259718,-0.07964500950095388
2008-02-29,0.8676286072772899,0.9073907498507167,-0.13237139272271015,-0.10677126185250463
2008-03-03,0.8626097867001254,0.9075354231207821,-0.13739021329987455,-0.10662884655624394
2008-03-03,0.8626097867001254,0.9075354231207821,-0.13739021329987455,-0.10662884655624394
2008-03-04,0.8676286072772899,0.9075354231207821,-0.13237139272271015,-0.10662884655624394
2008-03-05,0.875784190715182,0.9069565454788616,-0.12421580928481801,-0.10719868942241761
2008-03-06,0.8506900878293602,0.9097062142779838,-0.14930991217063982,-0.10449193580809268
2008-03-07,0.8519447929736512,0.9092720560465435,-0.14805520702634878,-0.10491931795772291
2008-03-10,0.8387703889585947,0.9102850919199043,-0.16122961104140532,-0.10392209294191901
2008-03-11,0.8676286072772899,0.9056540707845406,-0.13237139272271015,-0.1084808358713083
2008-03-12,0.8613550815558344,0.908693178404623,-0.1386449184441656,-0.10548916082389659
2008-03-13,0.877038895859473,0.9082590201731827,-0.12296110414052697,-0.10591654297352682
2008-03-14,0.8519447929736512,0.8822716376217326,-0.14805520702634878,-0.1314983300129109
2008-03-17,0.848180677540778,0.8842341102824736,-0.15181932245922203,-0.12956648645081703
2008-03-18,0.8820577164366374,0.8811502246727376,-0.11794228356336256,-0.13260224061982173
2008-03-19,0.8462986198243413,0.8454279182670861,-0.1537013801756587,-0.16776701464874788
2008-03-20,0.8626097867001254,0.8443531648353149,-0.13739021329987455,-0.1688249939722517
2008-03-24,0.8902132998745295,0.8408602161820582,-0.10978670012547054,-0.17226342677363937
2008-03-25,0.8927227101631118,0.8415319370769152,-0.10727728983688822,-0.17160218969644947
2008-03-26,0.8833124215809285,0.8432784114035435,-0.11668757841907151,-0.16988297329575563
2008-03-27,0.8601003764115434,0.8442188206563433,-0.13989962358845665,-0.16895724138768986
2008-03-28,0.8475533249686323,0.8446218531932574,-0.15244667503136766,-0.16856049914137605
2008-03-31,0.8569636135508156,0.844756197372229,-0.14303638644918437,-0.1684282517259379
2008-04-01,0.8927227101631118,0.8418006254348578,-0.10727728983688822,-0.17133769486557382
2008-04-01,0.8927227101631118,0.8418006254348578,-0.10727728983688822,-0.17133769486557382
2008-04-02,0.8989962358845671,0.8418006254348578,-0.10100376411543288,-0.17133769486557382
2008-04-03,0.9121706398996235,0.841262733661417,-0.08782936010037645,-0.1718671915461708
2008-04-04,0.9134253450439147,0.8427419360383792,-0.0865746549560853,-0.17041107567452884
2008-04-07,0.9065244667503136,0.8411282607180567,-0.09347553324968638,-0.17199956571632025
2008-04-08,0.8870765370138018,0.8416661524914976,-0.11292346298619815,-0.17147006903572304
2008-04-09,0.8958594730238394,0.8432798278118199,-0.10414052697616061,-0.16988157899393197
2008-04-10,0.917189460476788,0.8430108819250994,-0.08281053952321205,-0.17014632733423052
2008-04-11,0.8833124215809285,0.8443556113587014,-0.11668757841907151,-0.1688225856327379
2008-04-14,0.8676286072772899,0.8438177195852606,-0.13237139272271015,-0.16935208231333487
2008-04-15,0.8695106649937264,0.842741936038379,-0.13048933500627358,-0.17041107567452907
2008-04-16,0.9052697616060226,0.8409937877746964,-0.09473023839397743,-0.17213193988646958
2008-04-17,0.8989962358845671,0.839380112454374,-0.10100376411543288,-0.17372042992826076
2008-04-18,0.9184441656210791,0.8389766936242935,-0.08155583437892089,-0.17411755243870852
2008-04-21,0.9284818067754078,0.8381698559641323,-0.07151819322459219,-0.17491179745960406
2008-04-22,0.9040150564617315,0.8384388018508527,-0.09598494353826847,-0.1746470491193055
2008-04-23,0.9303638644918445,0.8384388018508527,-0.0696361355081555,-0.1746470491193055
2008-04-24,0.9466750313676286,0.8361527618137293,-0.05332496863237135,-0.17689741001184311
2008-04-25,0.9435382685069008,0.8361527618137293,-0.05646173149309919,-0.17689741001184311
2008-04-28,0.9366373902132998,0.8370940724172506,-0.06336260978670016,-0.17597079082079825
2008-04-29,0.9410288582183187,0.8369595994738904,-0.05897114178168128,-0.17610316499094758
2008-04-30,0.9234629861982435,0.8385732747942128,-0.07653701380175648,-0.1745146749491564
2008-05-01,0.9579673776662484,0.8370940724172506,-0.0420326223337516,-0.17597079082079825
2008-05-01,0.9579673776662484,0.8370940724172506,-0.0420326223337516,-0.17597079082079825
2008-05-02,0.9585947302383939,0.8370940724172506,-0.04140526976160608,-0.17597079082079825
2008-05-05,0.951693851944793,0.8380367459222251,-0.048306148055207054,-0.17504282999965048
2008-05-06,0.9673776662484317,0.8385754164964963,-0.03262233375156831,-0.1745125666732803
2008-05-07,0.9554579673776663,0.8395180900014706,-0.044542032622333694,-0.17358460585213253
2008-05-08,0.9598494353826852,0.8403260958628771,-0.04015056461731481,-0.17278921086257748
2008-05-09,0.9598494353826852,0.8405954311500127,-0.04015056461731481,-0.1725240791993924
2008-05-12,0.9711417816813049,0.8389794194271993,-0.02885821831869506,-0.17411486917850283
2008-05-13,0.9755332496863238,0.8374980753479538,-0.024466750313676178,-0.17557309332602078
2008-05-14,0.9880803011292346,0.8369594047736828,-0.011919698870765383,-0.17610335665239096
2008-05-15,1.0106649937264742,0.8376327429915217,0.0,-0.17544052749442818
2008-05-16,1.0163111668757843,0.8379020782786571,0.0,-0.1751753958312432
2008-05-19,1.0119196988707653,0.8387100841400638,-0.004320987654321207,-0.17438000084168803
2008-05-20,0.9868255959849436,0.8399220929321737,-0.02901234567901234,-0.17318690835735517
2008-05-21,0.9711417816813049,0.8391140870707672,-0.04444444444444451,-0.17398230334691023
2008-05-22,0.9767879548306149,0.8366900694865473,-0.03888888888888886,-0.17636848831557594
2008-05-23,0.9692597239648683,0.8383060812093605,-0.04629629629629639,-0.17477769833646561
2008-05-27,0.9868255959849436,0.8374980753479538,-0.02901234567901234,-0.17557309332602078
2008-05-28,0.9905897114178168,0.8358820636251406,-0.025308641975308688,-0.17716388330513122
2008-05-29,0.9868255959849436,0.835612728338005,-0.02901234567901234,-0.1774290149683163
2008-05-30,1.0018820577164367,0.836824737130115,-0.014197530864197616,-0.17623592248398356
2008-06-02,0.991844416562108,0.8384407488529282,-0.024074074074074026,-0.17464513250487312
2008-06-02,0.991844416562108,0.8384407488529282,-0.024074074074074026,-0.17464513250487312
2008-06-03,0.9774153074027604,0.8384407488529282,-0.03827160493827164,-0.17464513250487312
2008-06-04,0.993099121706399,0.8381718023416681,-0.022839506172839585,-0.1749098814599639
